    contributors  coordinates                      created_at                                           entities                                  extended_entities  ...  \
82           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [{'text': 'Trump', 'indices': [12...  {'media': [{'sizes': {'large': {'w': 508, 'h':...  ...   
83           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
84           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
85           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
86           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
87           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...  {'media': [{'sizes': {'large': {'w': 470, 'h':...  ...   
88           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
89           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
90           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
91           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
92           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
93           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
94           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
95           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
96           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
97           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [{'text': 'NeverTrump', 'indices'...                                                NaN  ...   
98           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [], 'symbols...                                                NaN  ...   
99           NaN          NaN  Tue Mar 29 23:40:19 +0000 2016  {'hashtags': [], 'user_mentions': [{'screen_na...                                                NaN  ...   
                                               source                                               text   timestamp_ms  truncated                                               user  
"0   <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @bpolitics: .@krollbondrating's Christopher...  1459294817758      False  {'utc_offset': 3600, 'profile_image_url_https'...  "
"1   <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @HeidiAlpine: @dmartosko Cruz video found.....  1459294817810      False  {'utc_offset': None, 'profile_image_url_https'...  "
"2   <a href=""http://www.facebook.com/twitter"" rel=...  Njihuni me Zonjën Trump !!! | Ekskluzive https...  1459294817917      False  {'utc_offset': 7200, 'profile_image_url_https'...  "
"3   <a href=""http://twitter.com/download/android"" ...  Your an idiot she shouldn't have tried to grab...  1459294817903      False  {'utc_offset': None, 'profile_image_url_https'...  "
"4   <a href=""http://twitter.com/download/iphone"" r...  RT @AlanLohner: The anti-American D.C. elites ...  1459294817851      False  {'utc_offset': -18000, 'profile_image_url_http...  "
"5   <a href=""http://twitter.com/download/iphone"" r...  RT @BIackPplTweets: Young Donald trump meets h...  1459294817758      False  {'utc_offset': None, 'profile_image_url_https'...  "
"6   <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @trumpresearch: @WaitingInBagdad @thehill T...  1459294818004      False  {'utc_offset': 10800, 'profile_image_url_https...  "
"7   <a href=""http://twitter.com/download/android"" ...  RT @HouseCracka: 29,000+ PEOPLE WATCHING TRUMP...  1459294817898      False  {'utc_offset': None, 'profile_image_url_https'...  "
